seccion,id,titulo,autores,edicion,categoria,paginas,fecha_pub,precio,tipo,memoria,formato_digital,disponibilidad,retraso,multa,f_prestamo,f_devolucion
Ciencia y Tecnología,201,Breve historia del tiempo,Stephen Hawking,10ma,Ciencia,256,1988-04-01,9500,DIGITAL,15,PDF,,,,,
Ciencia y Tecnología,202,Clean Code,Robert C. Martin,1ra,Software,464,2008-08-01,25000,PRESTABLE,,,false,0,1000,2026-04-17,2026-04-29
Ficción Contemporánea,102,1984,George Orwell,Debolsillo,Distopía,328,1949-06-08,12000,BASE,,,,,,,,
Ficción Contemporánea,101,La Casa de los Espíritus,Isabel Allende,1ra,Novela,450,1982-01-01,15000,BASE,,,,,,,,
Autoayuda,501,Hábitos Atómicos,James Clear,1ra,Desarrollo,320,2018-10-16,18000,DIGITAL,5,EPUB,,,,,
Clásicos,301,Don Quijote de la Mancha,Miguel de Cervantes,RAE,Clásico,1100,1605-01-01,35000,BASE,,,,,,,,
Clásicos,302,Don Quijote de la Mancha,Miguel de Cervantes,Popular,Clásico,1100,1605-01-01,15000,BASE,,,,,,,,
Clásicos,303,Moby Dick,Herman Melville,Ilustrada,Aventura,800,1851-10-18,22000,PRESTABLE,,,false,5,500,2023-09-15,2023-10-01
Literatura Infantil,104,El Principito,Antoine de Saint-Exupéry,Color,Infantil,96,1943-04-06,8000,PRESTABLE,,,false,0,300,2023-10-25,2023-11-01
Literatura Infantil,401,El Principito,Antoine de Saint-Exupéry,Color,Infantil,96,1943-04-06,8000,PRESTABLE,,,false,0,300,2023-10-25,2023-11-01
Literatura Infantil,402,Papelucho,Marcela Paz,20va,Infantil,120,1947-01-01,7000,PRESTABLE,,,false,0,300,2023-10-25,2023-11-01
